,date,hr,weather,temperature,feels-like-temperature,relative-humidity,windspeed,psi,guest-users,registered-users
0,2011-01-01,0,clear,66.7,95.0,81.0,0.0,3,21,164
1,2011-01-01,1,clear,65.0,93.2,80.0,0.0,35,54,417
2,2011-01-01,2,clear,65.0,93.2,80.0,0.0,38,35,356
3,2011-01-01,3,clear,66.7,95.0,75.0,0.0,35,19,129
4,2011-01-01,4,clear,66.7,95.0,75.0,0.0,11,-2,10
5,2011-01-01,5,cloudy,66.7,91.4,75.0,6.0,12,2,10
6,2011-01-01,6,clear,65.0,93.2,80.0,0.0,19,15,2
7,2011-01-01,7,clear,63.3,91.4,86.0,0.0,33,5,27
8,2011-01-01,8,clear,66.7,95.0,75.0,0.0,45,8,96
9,2011-01-01,9,clear,73.5,102.2,76.0,0.0,33,57,73
10,2011-01-01,10,clear,78.5,107.6,76.0,17.0,29,84,314
11,2011-01-01,11,clear,76.9,100.4,81.0,19.0,21,184,390
12,2011-01-01,12,clear,81.9,111.2,77.0,19.0,33,204,711
13,2011-01-01,13,cloudy,85.3,114.8,72.0,20.0,2,328,608
14,2011-01-01,14,cloudy,85.3,114.8,72.0,19.0,12,247,928
15,2011-01-01,15,cloudy,83.6,113.0,77.0,20.0,41,279,908
16,2011-01-01,16,cloudy,81.9,111.2,82.0,20.0,19,289,680
17,2011-01-01,17,cloudy,83.6,113.0,82.0,19.0,36,104,674
18,2011-01-01,18,light snow/rain,81.9,111.2,88.0,17.0,47,62,336
19,2011-01-01,19,light snow/rain,81.9,111.2,88.0,17.0,34,41,402
20,2011-01-01,20,cloudy,80.2,109.4,87.0,17.0,4,79,325
21,2011-01-01,21,cloudy,80.2,109.4,87.0,13.0,12,19,400
22,2011-01-01,22,cloudy,80.2,109.4,94.0,15.0,44,75,220
23,2011-01-01,23,cloudy,85.3,114.8,88.0,20.0,7,104,310
24,2011-01-02,0,cloudy,85.3,114.8,88.0,20.0,2,29,167
25,2011-01-02,1,loudy,83.6,113.0,94.0,17.0,20,9,212
26,2011-01-02,2,cloudy,81.9,111.2,100.0,19.0,43,9,107
27,2011-01-02,3,cloudy,85.3,114.8,94.0,13.0,41,13,52
28,2011-01-02,4,cloudy,85.3,114.8,94.0,13.0,45,16,14
29,2011-01-02,6,light snow/rain,81.9,111.2,77.0,20.0,39,0,29
30,2011-01-02,7,cloudy,80.2,109.4,76.0,13.0,42,-1,18
31,2011-01-02,8,light snow/rain,80.2,109.4,71.0,15.0,26,-1,107
32,2011-01-02,9,cloudy,78.5,107.6,76.0,15.0,37,6,249
33,2011-01-02,10,cloudy,76.9,102.2,81.0,15.0,33,47,593
34,2011-01-02,11,cloudy,76.9,100.4,71.0,17.0,29,111,706
35,2011-01-02,12,cloudy,76.9,100.4,66.0,20.0,21,141,951
36,2011-01-02,13,cloudy,76.9,102.2,66.0,9.0,31,76,835
37,2011-01-02,14,light snow/rain,76.9,102.2,76.0,13.0,12,26,713
38,2011-01-02,15,light snow/rain,75.2,100.4,81.0,11.0,26,131,710
39,2011-01-02,16,light snow/rain,75.2,100.4,71.0,11.0,26,65,876
40,2011-01-02,17,clear,75.2,100.4,56.99999999999999,13.0,15,48,758
41,2011-01-02,18,cloudy,76.9,100.4,46.0,22.0,42,71,557
42,2011-01-02,19,clear,73.5,95.0,42.0,30.0,13,9,376
43,2011-01-02,20,clear,71.8,93.2,39.0,24.0,2,34,220
44,2011-01-02,21,clear,68.4,87.8,44.0,22.0,29,76,255
45,2011-01-02,22,clear,66.7,86.0,44.0,20.0,18,1,116
46,2011-01-02,23,clear,65.0,87.8,47.0,11.0,38,1,109
47,2011-01-03,0,clear,65.0,84.2,44.0,24.0,42,-2,70
48,2011-01-03,1,clear,63.3,80.6,44.0,28.0,1,-2,26
49,2011-01-03,4,clear,59.9,77.0,47.0,26.0,43,0,18
50,2011-01-03,5,clear,59.9,77.0,47.0,19.0,38,-2,42
51,2011-01-03,6,clear,58.2,73.4,50.0,26.0,36,0,395
52,2011-01-03,7,clear,58.2,77.0,50.0,13.0,10,5,822
53,2011-01-03,8,clear,58.2,75.2,50.0,19.0,44,7,1987
54,2011-01-03,9,clear,59.9,77.0,43.0,26.0,0,50,1050
55,2011-01-03,10,clear,61.6,80.6,43.0,17.0,48,76,427
56,2011-01-03,11,clear,63.3,82.4,40.0,22.0,6,69,528
57,2011-01-03,12,clear,65.0,86.0,35.0,20.0,18,93,625
58,2011-01-03,13,clear,66.7,86.0,35.0,19.0,3,55,691
59,2011-01-03,14,clear,68.4,89.6,30.0,19.0,38,76,856
60,2011-01-03,15,clear,68.4,89.6,30.0,17.0,36,100,755
61,2011-01-03,16,clear,68.4,89.6,30.0,17.0,44,64,868
62,2011-01-03,17,clear,66.7,87.8,30.0,15.0,43,79,1897
63,2011-01-03,18,clear,66.7,91.4,32.0,7.0,5,63,1929
64,2011-01-03,19,clear,63.3,91.4,47.0,0.0,2,58,1326
65,2011-01-03,20,clear,63.3,87.8,47.0,7.0,12,19,639
66,2011-01-03,21,clear,61.6,84.2,64.0,9.0,34,22,640
67,2011-01-03,22,clear,58.2,78.8,69.0,9.0,9,0,264
68,2011-01-03,23,clear,61.6,86.0,55.00000000000001,7.0,34,6,140
69,2011-01-04,0,clear,59.9,82.4,55.00000000000001,7.0,26,-2,66
70,2011-01-04,1,clear,59.9,82.4,59.0,7.0,31,1,30
71,2011-01-04,2,clear,58.2,78.8,63.0,9.0,31,2,8
72,2011-01-04,4,clear,58.2,82.4,63.0,6.0,15,-2,30
73,2011-01-04,5,clear,56.6,78.8,68.0,7.0,48,1,55
74,2011-01-04,6,clear,56.6,78.8,74.0,7.0,29,1,465
75,2011-01-04,7,clear,56.6,78.8,74.0,9.0,48,12,1192
76,2011-01-04,8,clear,58.2,78.8,69.0,11.0,41,15,2300
77,2011-01-04,9,clear,59.9,78.8,64.0,15.0,32,14,1273
78,2011-01-04,10,cloudy,59.9,77.0,69.0,22.0,16,37,483
79,2011-01-04,11,clear,65.0,86.0,51.0,20.0,12,51,648
80,2011-01-04,12,clear,65.0,87.8,51.0,11.0,0,86,861
81,2011-01-04,13,clear,66.7,87.8,56.00000000000001,13.0,47,127,1029
82,2011-01-04,14,clear,68.4,91.4,52.0,15.0,4,64,705
83,2011-01-04,15,clear,70.1,93.2,52.0,17.0,4,120,619
84,2011-01-04,16,clear,71.8,95.0,49.0,17.0,26,105,883
85,2011-01-04,17,clear,70.1,93.2,48.0,15.0,1,69,2630
86,2011-01-04,18,clear,68.4,91.4,48.0,13.0,34,19,2332
87,2011-01-04,19,clear,66.7,91.4,48.0,7.0,20,14,1429
88,2011-01-04,20,clear,66.7,91.4,48.0,7.0,24,9,688
89,2011-01-04,21,clear,65.0,93.2,64.0,0.0,5,-2,626
90,2011-01-04,22,clear,65.0,91.4,64.0,6.0,48,9,437
91,2011-01-04,23,lear,63.3,87.8,69.0,6.0,37,14,121
92,2011-01-05,0,clear,63.3,91.4,64.0,0.0,34,1,74
93,2011-01-05,1,clear,59.9,84.2,74.0,6.0,8,2,77
94,2011-01-05,2,clear,59.9,84.2,74.0,6.0,10,-2,25
95,2011-01-05,4,clear,66.7,87.8,48.0,15.0,17,2,30
96,2011-01-05,5,clear,65.0,87.8,47.0,11.0,42,-1,34
97,2011-01-05,6,clear,63.3,84.2,47.0,15.0,26,2,429
98,2011-01-05,7,clear,61.6,82.4,43.0,13.0,30,6,1132
99,2011-01-05,8,clear,63.3,82.4,40.0,20.0,40,22,2498
100,2011-01-05,9,clear,65.0,84.2,37.0,22.0,9,43,1416
